artist,album,play_count
Cymbals,Light In Your Mind,14
Liquid Tension Experiment,Liquid Tension Experiment,14
Nirvana,Nevermind,14
Jane's Addiction,Up from the Catacombs: the Best of Jane's Addiction,14
Jimi Hendrix,Both Sides Of The Sky,13
Sia,Colour the Small One,13
Sondre Lerche,Faces Down,13
Adam Kempenaar & Matty Robinson,Filmspotting,13
The Weepies,Hideaway,13
Led Zeppelin,In Through The Out Door (Deluxe Edition),13
Roo Panes,Little Giant,13
A.R. Rahman,May Madham,13
Arcade Fire,Neon Bible,13
Aerosmith,"O, Yeah! Ultimate Aerosmith Hits",13
Boozoo Bajou,Satta,13
Shankar-Ehsaan-Loy,Taare Zameen Par,13
"A. R. Rahman, Sid Sriram & Aaryan Dinesh Kanagaratnam","Thalli Pogathey (From ""Achcham Yenbadhu Madamaiyada"") - Single",13
Thomas Dybdahl,That great october sound,13
William Fitzsimmons,Until When We Are Ghosts,13
Katatonia,Viva Emptiness,13
The Minders,A House Full Of Friends,12
Vince Staples,Big Fish Theory,12
Riot,Brütal Legend,12
Elliot Root,Conjure,12
Bitter:Sweet,Drama,12
Turin Brakes,Essential Bands,12
Kaminey,Kaminey,12
Camera Obscura,Let's Get Out Of This Country,12
Eric Johnson,Masters of Acoustic Guitar,12
The Apples in Stereo,New Magnetic Wonder,12
Air,Premiers Symptomes,12
A.R. Rahman,Raavan,12
José González,Red Dead Redemption Original Soundtrack,12
Dream Theater,Six Degrees of Inner Turbulence,12
Two Door Cinema Club,Sleep Alone,12
Joe Satriani,What Happens Next,12
Sir Sly,You Haunt Me,12
Hindi,Aisha,11
Yeasayer,Amen & Goodbye,11
Circulatory System,Circulatory System,11
Bony Chakravarthy,Dev D,11
Goo Goo Dolls,Dizzy Up the Girl,11
