artist,track,play_count
Clint Mansell,Summer Overture,19
Two Door Cinema Club,You're Not Stubborn,19
Erlend Øye,A Sudden Rush (w/Kompis),18
A.R. Rahman,Ay Hairathe,18
Bryan Adams,Cloud Number Nine,18
Two Door Cinema Club,Costume Party,18
Clint Mansell,Hope Overture,18
Shankar-Ehsaan-Loy,Kholo Kholo,18
Coldplay,Low,18
A.R. Rahman,Pray for me brother,18
A.R. Rahman,Roobaroo,18
Coldplay,Speed of Sound,18
Coldplay,Swallowed in the Sea,18
Renny Gleeson,TEDTalks : Busted! The sneaky moves of anti-social smartphone users  - Renny Gleeson (2009),18
Bitter:Sweet,Bittersweet Faith,17
Clint Mansell,Death Is a Disease,17
Iron & Wine,Faded From the Winter,17
Someone Still Loves You Boris Yeltsin,House Fire,17
Coldplay,I Ran Away,17
Goo Goo Dolls,Iris,17
Shankar-Ehsaan-Loy,Mera Jahan,17
Flunk,On My Balcony,17
Siddharth,Oy ! Oy !,17
A.R. Rahman,Paatshala - Be a Rebel,17
Clint Mansell,Supermarket Sweep,17
Coldplay,The Hardest Part,17
Simon & Garfunkel,The Sound of Silence,17
Apple Movie Trailers,Trailer 1,17
Coldplay,Trouble,17
The Beatles,Within You Without You / Tomorrow Never Knows,17
Coldplay,Yellow,17
Opeth,Blackwater Park,16
The Whitest Boy Alive,Burning,16
Afterlife,Cry (Brown Bear Mix),16
Bill Elm and Woody Jackson,Horseplay,16
Two Door Cinema Club,Kids,16
Fufanu,Liability,16
Radiohead,Lucky,16
Anushka Manchanda,Mit Jaaye Gham (Dum Maaro Dum) [www.DJMaza.Com],16
Radiohead,Paranoid Android,16
Porcupine Tree,Pure Narcotic,16
Ryan Adams,The Last Dance,16
The Killers,The Man,16
Norah Jones,Don't Know Why,15
A.R. Rahman,Ek Lo Ek Muft,15
Kings of Convenience,Know-How,15
Vishal Dadlani -  www.DesiUpdate.com,Kurbaan Hua -  www.DesiUpdate.com,15
